PK_MEDICAMENTO,CODIGO_ATC,PRINCIPIOS_ATIVOS_WHODRUG,NOME_MEDICAMENTO_WHODRUG,PK_ATC,DESCRICAO
0,A,,Alimentary tract and metabolism,outros,outros
1,A01A,Mucin,Saliva,outros,outros
2,A01A,Sodium chlorate,Sodium chlorate,outros,outros
3,A01AA,Fluoreto de sódio,Dual,outros,outros
4,A01AA,Flúor_x000D_|Xilitol,Biotene,outros,outros
5,A01AA,Glicose oxidase_x000D_|Lactoperoxidase,Biotene,outros,outros
6,A01AA,Minerals nos_x000D_|Xilitol,Kin hidrat,outros,outros
7,A01AA,Nitrato de potássio_x000D_|Fluoreto de sódio,Sensodyne,outros,outros
8,A01AA,Potassium nitrate|Sodium fluoride,Cariax,outros,outros
9,A01AA,Potassium nitrate|Sodium fluoride,Sensodyne,outros,outros
10,A01AA,Sodium fluoride,Dual,outros,outros
11,A01AA,Sodium fluoride,Sf,outros,outros
12,A01AA,Xilitol,Xylimelts,outros,outros
13,A01AA_x000D_|A12CD,Fluoreto de sódio,Sodium fluoride,outros,outros
14,A01AA|A12CD,Fluorine,Fluorine,outros,outros
15,A01AB,Chlorhexidine gluconate|Sodium fluoride,Cariax,outros,outros
16,A01AB,Clorexidina,Clorexedine,outros,outros
17,A01AB,Gliconato de clorexidina,Chlohexin,outros,outros
18,A01AB,Gliconato de clorexidina,Periogard,outros,outros
19,A01AB,Gliconato de clorexidina,Riohex gard,outros,outros
20,A01AB,Miconazole,Daktarin oral,outros,outros
21,A01AB,Peróxido de uréia,Contrast pm,outros,outros
22,A01AB,Povidone-iodine,Cleanser,outros,outros
23,A01AB,Urea hydrogen peroxide,Contrast pm,outros,outros
24,A01AB_x000D_|A07AA_x000D_|B05CA_x000D_|D06AX_x000D_|J01GB_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Neomycin,Neomicina,outros,outros
25,A01AB_x000D_|A07AA_x000D_|B05CA_x000D_|D06AX_x000D_|J01GB_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Sulfato de neomicina,Neomycin,outros,outros
26,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA,Nistatina,Nistatina,outros,outros
27,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA,Nistatina,Nystatin,outros,outros
28,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amfotericina B,outros,outros
29,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amphotericin b,outros,outros
30,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amphotericine B,outros,outros
31,A01AB_x000D_|A07AA_x000D_|G01AA_x000D_|J02AA,Amfotericina b,Anfotericina,outros,outros
32,A01AB_x000D_|A07AA_x000D_|G01AA_x000D_|J02AA,Amphotericin B deoxycholate,Amphotericin B deoxycholate,outros,outros
33,A01AB_x000D_|A07AC_x000D_|D01AC_x000D_|G01AF_x000D_|J02AB_x000D_|P01AB_x000D_|S02AA,Miconazole,Miconazol,outros,outros
34,A01AB_x000D_|A12CX_x000D_|C05BB_x000D_|D08AG_x000D_|H03CA_x000D_|R02AA_x000D_|R05CA_x000D_|S01XA_x000D_|V03AB_x000D_|V91,Iodo,Iodine,outros,outros
35,A01AB_x000D_|B02BC_x000D_|D08AE_x000D_|G01AX,Policresuleno,Policresuleno,outros,outros
36,A01AB_x000D_|B05CA_x000D_|D08AC_x000D_|D09AA_x000D_|D10AX_x000D_|G01AX_x000D_|R02AA_x000D_|S01AX_x000D_|S02AA_x000D_|S03AA,Clorexidina,Chlorhexidine,outros,outros
37,A01AB_x000D_|B05CA_x000D_|D08AC_x000D_|D09AA_x000D_|D10AX_x000D_|G01AX_x000D_|R02AA_x000D_|S01AX_x000D_|S02AA_x000D_|S03AA,Gliconato de clorexidina,Chlorhexidine digluconate,outros,outros
38,A01AB_x000D_|B05CA_x000D_|D08AC_x000D_|D09AA_x000D_|D10AX_x000D_|G01AX_x000D_|R02AA_x000D_|S01AX_x000D_|S02AA_x000D_|S03AA,Gliconato de clorexidina,Chlorhexidine gluconate,outros,outros
39,A01AB_x000D_|C05BB_x000D_|D08AG_x000D_|H03CA_x000D_|R02AA_x000D_|R05CA_x000D_|S01XA_x000D_|V03AB_x000D_|V91,Iodo,Iodine,outros,outros
40,A01AB_x000D_|D01AC_x000D_|G01AF,Clotrimazole,Canesten,outros,outros
41,A01AB_x000D_|D01AC_x000D_|G01AF,Clotrimazole,Gino-canesten,outros,outros
42,A01AB_x000D_|D01AC_x000D_|G01AF_x000D_|P01AB_x000D_|S01AX_x000D_|S02AA,Clotrimazole,Clotrimazol,outros,outros
43,A01AB_x000D_|D01AC_x000D_|G01AF_x000D_|P01AB_x000D_|S01AX_x000D_|S02AA,Clotrimazole,Clotrimazole,outros,outros
44,A01AB_x000D_|D02AX_x000D_|D08AD_x000D_|G01AX_x000D_|S01AX_x000D_|S02AA_x000D_|V91,Ácido bórico,Boric acid,outros,outros
45,A01AB_x000D_|D06AA_x000D_|D10AF_x000D_|J01AA,Doxycycline,Doxiciclina,outros,outros
46,A01AB_x000D_|D06AA_x000D_|D10AF_x000D_|J01AA,Doxycycline,Doxycycline,outros,outros
47,A01AB_x000D_|D06AA_x000D_|D10AF_x000D_|J01AA,Minocycline,Minociclina,outros,outros
48,A01AB_x000D_|D06AA_x000D_|D10AF_x000D_|J01AA,Minocycline,Minocycline,outros,outros
49,A01AB_x000D_|D06AA_x000D_|J01AA_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Tetracycline,Tetraciclina,outros,outros
50,A01AB_x000D_|D06AA_x000D_|J01AA_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Tetracycline,Tetracycline,outros,outros
51,A01AB_x000D_|D06AX_x000D_|D10AF_x000D_|G01AA_x000D_|J01BA_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Chloramphenicol,Cloranfenicol,outros,outros
52,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole,Flagyl,outros,outros
53,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole,Metro,outros,outros
54,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole,Metronidazol,outros,outros
55,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole,Metronidazole,outros,outros
56,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole,Metronidazolum,outros,outros
57,A01AB_x000D_|D06BX_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Metronidazole sodium,Metronidazole,outros,outros
58,A01AB_x000D_|D08AC,Gliconato de clorexidina,Chlorclear,outros,outros
59,A01AB_x000D_|D08AG_x000D_|D09AA_x000D_|D11AC_x000D_|G01AX_x000D_|R02AA_x000D_|S01AX,Povidone-iodine,Betadine,outros,outros
60,A01AB_x000D_|D08AJ_x000D_|D09AA_x000D_|G01AX_x000D_|G02BB_x000D_|R01AX_x000D_|R02AA_x000D_|S01XA,Cloreto de benzalcônio,Benzalkonium chloride,outros,outros
61,A01AB_x000D_|D08AJ_x000D_|D09AA_x000D_|G01AX_x000D_|G02BB_x000D_|R01AX_x000D_|R02AA_x000D_|S01XA,Cloreto de benzalcônio,Cloruro de benzalconio,outros,outros
62,A01AB_x000D_|D08AX_x000D_|D11AX_x000D_|N04_x000D_|S01XA_x000D_|S02AA_x000D_|S02D,Hydrogen peroxide,Hydrogen peroxide,outros,outros
63,A01AB_x000D_|D08AX_x000D_|G04BX_x000D_|R02AA_x000D_|V03AB_x000D_|V04CG_x000D_|V04CX_x000D_|V91,Cloreto de metiltionínio,Methylene Blue,outros,outros
64,A01AB_x000D_|D10AF_x000D_|J01AA,Doxiciclina monoidratada,Doxycycline monohydrate,outros,outros
65,A01AB_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Benzoilmetronidazol,Metronidazol,outros,outros
66,A01AB_x000D_|G01AF_x000D_|J01XD_x000D_|P01AB,Tinidazole,Tinidazol,outros,outros
67,A01AB|A07AA,Nystatin,Nistatina Gi,outros,outros
68,A01AB|A07AA|B05CA|D06AX|J01GB|R02AB|S01AA|S02AA|S03AA,Neomycin,Neomicina,outros,outros
69,A01AB|A07AA|B05CA|D06AX|J01GB|R02AB|S01AA|S02AA|S03AA,Neomycin,Neomycin,outros,outros
70,A01AB|A07AA|B05CA|D06AX|J01GB|R02AB|S01AA|S02AA|S03AA,Neomycin sulfate,Nebacetin n,outros,outros
71,A01AB|A07AA|D01AA|G01AA,Nistatina,Nistat,outros,outros
72,A01AB|A07AA|D01AA|G01AA|J02AA,Amphotericin b,Amphotericin,outros,outros
73,A01AB|A07AA|D01AA|G01AA|J02AA,Amphotericin b,Amphotericin b,outros,outros
74,A01AB|A07AA|D01AA|G01AA|J02AA,Amphotericin b,Amphotericine B,outros,outros
75,A01AB|A07AA|D01AA|G01AA|J02AA,Nistatina,Nistatina,outros,outros
76,A01AB|A07AA|D01AA|G01AA|J02AA,Nystatin,Nistatina,outros,outros
77,A01AB|A07AA|D01AA|G01AA|J02AA,Nystatin,Nystatin,outros,outros
78,A01AB|A07AA|D01AA|G01AA|J02AA|S01AA,Natamycin,Natamycin,outros,outros
79,A01AB|A07AA|D06AX|J04AB|S01AA|S02AA,Rifamicina,Rifamicina,outros,outros
80,A01AB|A07AA|D06AX|J04AB|S01AA|S02AA,Rifamycin,Rifamycin,outros,outros
81,A01AB|A07AA|G01AA|J02AA,Amphotericin B deoxycholate,Amphotericin B deoxycholate,outros,outros
82,A01AB|A07AA|G01AA|J02AA,Amphotericin b,Anfotericina,outros,outros
83,A01AB|A07AC|D01AC|G01AF|J02AB|P01AB|S02AA,Miconazole nitrate,Daktarin,outros,outros
84,A01AB|A07AC|D01AC|G01AF|J02AB|S02AA,Miconazole,Daktarin,outros,outros
85,A01AB|B05CA|D08AC|D09AA|D10AX|G01AX|R02AA|S01AX|S02AA|S03AA,Chlorhexidine,Chlorhexidine,outros,outros
86,A01AB|B05CA|D08AC|D09AA|D10AX|G01AX|R02AA|S01AX|S02AA|S03AA,Clorexidina,Chlorhexidine,outros,outros
87,A01AB|B05CA|D08AC|D09AA|R02AA|S01AX|S02AA|S03AA,Chlorhexidine gluconate,Chlorhexidine,outros,outros
88,A01AB|C05BB|D08AG|H03CA|R02AA|R05CA|S01XA|V03AB|V91,Iodine,Iodine,outros,outros
89,A01AB|D01AA|G01AA|J02AA,Amphotericin b,Fungizon,outros,outros
90,A01AB|D01AC|G01AF,Clotrimazole,Canesten,outros,outros
91,A01AB|D01AC|G01AF,Clotrimazole,Gino-canesten,outros,outros
92,A01AB|D01AC|G01AF|P01AB|S01AX|S02AA,Clotrimazole,Clotrimazol,outros,outros
93,A01AB|D01AC|G01AF|P01AB|S01AX|S02AA,Clotrimazole,Clotrimazole,outros,outros
94,A01AB|D06AA|D10AF|J01AA,Doxycycline,Doxiciclina,outros,outros
95,A01AB|D06AA|D10AF|J01AA,Doxycycline,Doxycycline,outros,outros
96,A01AB|D06AA|D10AF|J01AA,Minocycline,Minocycline,outros,outros
97,A01AB|D06AA|J01AA,Doxycycline hydrochloride,Doxycycline hydrochloride,outros,outros
98,A01AB|D06AA|J01AA|R02AB|S01AA|S02AA|S03AA,Tetracycline,Tetraciclina,outros,outros
99,A01AB|D06AA|J01AA|S01AA|S02AA|S03AA,Tetracycline hydrochloride,Tetraciclina,outros,outros
100,A01AB|D06BX|G01AF|J01XD|P01AB,Metronidazole,Flagyl,outros,outros
101,A01AB|D06BX|G01AF|J01XD|P01AB,Metronidazole,Metronidazol,outros,outros
102,A01AB|D06BX|G01AF|J01XD|P01AB,Metronidazole,Metronidazole,outros,outros
103,A01AB|D06BX|G01AF|J01XD|P01AB,Metronidazole,Metronidazolum,outros,outros
104,A01AB|D06BX|G01AF|J01XD|P01AB,Metronidazole sodium,Metronidazole,outros,outros
105,A01AB|D08AC,Chlorhexidine gluconate,Chlorclear,outros,outros
106,A01AB|D08AG|D09AA|D11AC|G01AX|R02AA|S01AX,Povidone-iodine,Betadine,outros,outros
107,A01AB|D08AG|G01AX|R02AA,Povidone-iodine,Povidine,outros,outros
108,A01AB|D08AJ|R02AA,Benzethonium chloride,Benzethonium chloride,outros,outros
109,A01AB|D08AX|D11AX|N04|S01XA|S02AA,Hydrogen peroxide,Hydrogen peroxide,outros,outros
110,A01AB|G01AF|J01XD|P01AB,Benzoilmetronidazol,Metronidazol,outros,outros
111,A01AB|G01AF|J01XD|P01AB,Metronidazole benzoate,Metronidazol,outros,outros
112,A01AB|R02AB,Hydroxyquinoline sulfate|Tyrothricin,Malvatricin,outros,outros
113,A01AB|R07A|S02DC,Urea hydrogen peroxide,Carbamide peroxide,outros,outros
114,A01AC,Acetónido de triamcinolona,Acetonido de triancinolona,outros,outros
115,A01AC,Acetónido de triamcinolona,Omcilon a orabase,outros,outros
116,A01AC,Amylocaine|Framycetin sulfate|Gramicidin|Prednisolone|Procaine,Fonergin,outros,outros
117,A01AC,Cloreto de benzalcônio_x000D_|Dexamethasone_x000D_|Resorcinol_x000D_|Cloridrato de tetracaína,Resorborina,outros,outros
118,A01AC,Triamcinolone acetonide,Acetonida de triancinolona,outros,outros
119,A01AC,Triamcinolone acetonide,Omcilon a orabase,outros,outros
120,A01AC,Triamcinolone acetonide,Sinocort,outros,outros
121,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|M02AX_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolon,outros,outros
122,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|M02AX_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolona,outros,outros
123,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|M02AX_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolone,outros,outros
124,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolon,outros,outros
125,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolona,outros,outros
126,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Prednisolone,Prednisolone,outros,outros
127,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Acetato de hidrocortisona,Cortisol acetate,outros,outros
128,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Acetato de hidrocortisona,Hydrocortison,outros,outros
129,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Acetato de hidrocortisona,Hydrocortisone acetate,outros,outros
130,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Hydrocortisone,Hydrocortisone,outros,outros
131,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Betamethasone,Betametasona,outros,outros
132,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Betamethasone,Betamethasone,outros,outros
133,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Beclometasone,Beclometasona,outros,outros
134,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Beclometasone,Beclometasone,outros,outros
135,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Beclometasone,Beclometasonum,outros,outros
136,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Beclometasone,Beclomethasone,outros,outros
137,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Dipropionato de beclometasona,Beclometasone dipropionate,outros,outros
138,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07AC_x000D_|R01AD_x000D_|R03BA,Dipropionato de beclometasona,Beclomethasone Dipropionate,outros,outros
139,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07A_x000D_|D07AA_x000D_|D07AB_x000D_|D07AC_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Hydrocortisone,Hidrocortisona,outros,outros
140,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07A_x000D_|D07AA_x000D_|D07AB_x000D_|D07AC_x000D_|H02AB_x000D_|S01BA_x000D_|S02BA,Hydrocortisone,Hydrocortisone,outros,outros
141,A01AC_x000D_|A07EA_x000D_|C05AA_x000D_|D07_x000D_|H02_x000D_|N02CB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02B_x000D_|S03B,Corticosteroid nos,Corticosteroid nos,outros,outros
142,A01AC_x000D_|C05AA_x000D_|D07AA_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Acetato de prednisolona,Prednisolone acetate,outros,outros
143,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA,Acetónido de triamcinolona,Triamcinolone acetonide,outros,outros
144,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA,Triancinolona,Triamcinolona,outros,outros
145,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA,Triancinolona,Triamcinolone,outros,outros
146,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Dexamethasone,Dexametason,outros,outros
147,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Dexamethasone,Dexametasona,outros,outros
148,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Dexamethasone,Dexamethasone,outros,outros
149,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Fosfato dissódico de dexametasona,Dexamethasone sodium phosphate,outros,outros
150,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Acetato de dexametasona,Decadron,outros,outros
151,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Acetato de dexametasona,Dexamethasone acetate,outros,outros
152,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Fosfato dissódico de dexametasona,Decadron-phosphat,outros,outros
153,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Fosfato dissódico de dexametasona,Dexa,outros,outros
154,A01AC_x000D_|C05AA_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|S01BA_x000D_|S02BA_x000D_|S03BA,Fosfato dissódico de dexametasona,Dexamethasone,outros,outros
155,A01AC_x000D_|D07AB,Acetónido de triamcinolona,Triancinolona acetonida,outros,outros
156,A01AC_x000D_|D07AB_x000D_|H02AB_x000D_|R01AD_x000D_|R03BA_x000D_|S01BA,Acetónido de triamcinolona,Oracort,outros,outros
157,A01AC_x000D_|D07AD,Clobetasol,Clobetasol,outros,outros
158,A01AC_x000D_|D07AD,Propionato de clobetasol,Clobetasol propionate,outros,outros
159,A01AC|A07EA|C05AA|D07AA|D07AB|D07AC|H02AB|S01BA|S02BA,Hydrocortisone,Cortisol,outros,outros
160,A01AC|A07EA|C05AA|D07AA|D07AB|D07AC|H02AB|S01BA|S02BA,Hydrocortisone,Hidrocortisona,outros,outros
161,A01AC|A07EA|C05AA|D07AA|D07AB|D07AC|H02AB|S01BA|S02BA,Hydrocortisone,Hydrocortisone,outros,outros
162,A01AC|A07EA|C05AA|D07AA|H02AB|M02AX|R01AD|S01BA|S02BA|S03BA,Prednisolone,Prednisolona,outros,outros
163,A01AC|A07EA|C05AA|D07AA|H02AB|M02AX|R01AD|S01BA|S02BA|S03BA,Prednisolone,Prednisolone,outros,outros
164,A01AC|A07EA|C05AA|D07AA|H02AB|R01AD|S01BA|S02BA|S03BA,Prednisolone,Prednisolon,outros,outros
165,A01AC|A07EA|C05AA|D07AA|H02AB|R01AD|S01BA|S02BA|S03BA,Prednisolone,Prednisolona,outros,outros
166,A01AC|A07EA|C05AA|D07AA|H02AB|R01AD|S01BA|S02BA|S03BA,Prednisolone,Prednisolone,outros,outros
167,A01AC|A07EA|C05AA|D07AA|H02AB|S01BA|S02BA,Hydrocortisone acetate,Hydrocortisone acetate,outros,outros
168,A01AC|A07EA|C05AA|D07AA|H02AB|S01BA|S02BA,Hydrocortisone sodium succinate,Hydrocortisone sodium succinate,outros,outros
169,A01AC|A07EA|C05AA|D07AC|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Betamethasone,Betametasona,outros,outros
170,A01AC|A07EA|C05AA|D07AC|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Betamethasone,Betamethasone,outros,outros
171,A01AC|A07EA|C05AA|D07AC|R01AD|R03BA,Beclometasone,Beclometasona,outros,outros
172,A01AC|A07EA|C05AA|D07AC|R01AD|R03BA,Beclometasone,Beclometasone,outros,outros
173,A01AC|A07EA|C05AA|D07AC|R01AD|R03BA,Beclometasone,Beclomethasone,outros,outros
174,A01AC|A07EA|C05AA|D07A|D07AA|D07AB|D07AC|H02AB|S01BA|S02BA,Hydrocortisone,Hidrocortisona,outros,outros
175,A01AC|A07EA|C05AA|D07A|D07AA|D07AB|D07AC|H02AB|S01BA|S02BA,Hydrocortisone,Hydrocortisone,outros,outros
176,A01AC|A07EA|C05AA|D07|H02|N02CB|R01AD|R03BA|S01BA|S02B|S03B,Corticosteroid nos,Corticosteroid nos,outros,outros
177,A01AC|C05AA|D07AA|H02AB|R01AD|S01BA|S02BA|S03BA,Prednisolone acetate,Prednisolone acetate,outros,outros
178,A01AC|C05AA|D07AA|H02AB|S01BA|S02BA|S03BA,Prednisolone acetate,Prednisolone acetate,outros,outros
179,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Desametasone,outros,outros
180,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexametason,outros,outros
181,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexametasona,outros,outros
182,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexamethasone,outros,outros
183,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone acetate,Decadron,outros,outros
184,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone sodium phosphate,Decadron,outros,outros
185,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone sodium phosphate,Dexamethason,outros,outros
186,A01AC|C05AA|D07AB|D10AA|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone sodium phosphate,Dexamethasone,outros,outros
187,A01AC|C05AA|D07AB|H02AB|R01AD|R03BA|S01BA,Triamcinolone,Triamcinolone,outros,outros
188,A01AC|C05AA|D07AB|H02AB|R01AD|R03BA|S01BA|S02BA,Triancinolona,Triamcinolona,outros,outros
189,A01AC|C05AA|D07AB|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexametason,outros,outros
190,A01AC|C05AA|D07AB|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexametasona,outros,outros
191,A01AC|C05AA|D07AB|H02AB|R01AD|R03BA|S01BA|S02BA|S03BA,Dexamethasone,Dexamethasone,outros,outros
192,A01AC|C05AA|D07AB|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone acetate,Decadron,outros,outros
193,A01AC|C05AA|D07AB|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone sodium phosphate,Decadron,outros,outros
194,A01AC|C05AA|D07AB|H02AB|R01AD|S01BA|S02BA|S03BA,Dexamethasone sodium phosphate,Dexamethasone,outros,outros
195,A01AC|C05AA|D07AB|H02AB|R01AD|S01BA|S02BA|S03BA,Fosfato dissódico de dexametasona,Decadron-phosphat,outros,outros
196,A01AC|C05AA|D07AB|H02AB|R01AD|S01BA|S02BA|S03BA,Fosfato dissódico de dexametasona,Dexamethasone,outros,outros
197,A01AC|D07AA|H02AB|S01BA,Hydrocortisone acetate,Hydrocortison,outros,outros
198,A01AC|D07AB,Triamcinolone acetonide,Triancinolona acetonida,outros,outros
199,A01AC|D07AB|H02AB|R01AD|R03BA|S01BA,Triamcinolone acetonide,Oracort,outros,outros
200,A01AC|D07AD,Clobetasol,Clobetasol,outros,outros
201,A01AC|D07AD,Clobetasol propionate,Clobetasol propionate,outros,outros
202,A01AD,Benzocaine|Dequalinium chloride,Multi bioticos,outros,outros
203,A01AD,Cannabidiol|Cannabis sativa seed oil|Medium-chain triglycerides,"Cannabidiol,Cannabis sativa seed oil,Medium-chain triglycerides",outros,outros
204,A01AD,Hyaluronate sodium,Hyalogel,outros,outros
205,A01AD,Ketoprofen lysine,Ketoprofen,outros,outros
206,A01AD,Lactobacillus Brevis,Mucofan,outros,outros
207,A01AD,Lauromacrogol 400_x000D_|Cloridrato de lidocaina_x000D_|Matricaria chamomilla l.,Nene dent n,outros,outros
208,A01AD,Lauromacrogol 400|Lidocaine hydrochloride|Matricaria chamomilla,Nene dent n,outros,outros
209,A01AD,Lidocaine hydrochloride|Polidocanol,Nene-dent,outros,outros
210,A01AD,Lisinato de cetoprofeno,Ketoprofen,outros,outros
211,A01AD,Ácido málico_x000D_|Xilitol,SalivaSure,outros,outros
212,A01AD,,Artificial saliva,outros,outros
213,A01AD_x000D_|A02BX_x000D_|A07FA,Lactobacillus reuteri,Lactobacillus reuteri,outros,outros
